pair,data_source,window_start,window_end,n_days_used,total_trades,sharpe_ratio,annualized_return,max_drawdown,total_return,win_rate,profit_factor
EUR-USD,dukascopy_minute,2020-11-23,2026-04-01,1956,14,0.520884336060936,0.016061228808803563,-0.07678842765937366,0.1112978478862762,0.8571428571428571,3.1727267064479325
GBP-USD,dukascopy_minute,2020-11-23,2026-04-01,1956,10,0.2668331592191575,0.008414794691887995,-0.10693228694755763,0.05706705323606543,0.8,2.494910679472684
USD-JPY,dukascopy_minute,2020-11-23,2026-04-01,1956,12,-0.4689075810583806,-0.023888180287954364,-0.19075841773332547,-0.1479688034413691,0.5,0.28727708336504243
USD-CAD,dukascopy_minute,2020-11-23,2026-04-01,1956,11,0.25013652279184323,0.005844083236431041,-0.05186224701187503,0.03934717093761719,0.6363636363636364,1.832368912517318
