label,slippage,fees,leverage,trades,sharpe,max_dd,total_return
default,,,,47,0.10359768599272556,-0.052438381907839005,0.012797517912707779
slippage_10bps,0.001,,,47,-0.05065743767653493,-0.05574436418809814,-0.00822581029535907
slippage_30bps,0.003,,,47,-0.3968844946752448,-0.07282151308957019,-0.053494965779118275
slippage_50bps,0.005,,,47,-0.740561473010842,-0.1069363094412632,-0.09683079279174533
fees_5bps,,0.0005,,47,0.01810376472499999,-0.05424191865503303,0.0010669879768561152
slip10_fees5,0.001,0.0005,,47,-0.1369427841148797,-0.057541428273626294,-0.01971692688800164
leverage_0.25,,,0.25,47,0.09715502836751341,-0.01319435079119835,0.0031746358105768646
leverage_0.05,,,0.05,47,0.0955740838143867,-0.002643342835231377,0.0006343772107619827
