ts_decision,ts_fill,ts_exit,i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,ts_decision_utc,ts_fill_utc,ts_exit_utc,m5_close
2024-01-02 11:00:00,2024-01-02 11:05:00,2024-01-02 15:04:00,205.0,1022.0,1261.0,253.0,1.0,3.0,2060.0,2056.106744310735,2070.0,2.243620436689195,0.05,2060.39,2060.8,3.0,0.0,-1.0,-1.0,1.0,1.0,21.416278446324668,10000.0,10002.050000000001,2.616511378530284,0.29,48.0,REV_LONG,TIME,2024-01-02 16:00:00,2024-01-02 16:05:00,2024-01-02 20:04:00,2060.245
2024-01-04 08:45:00,2024-01-04 08:50:00,2024-01-04 09:07:00,730.0,3637.0,3654.0,734.0,1.0,3.0,2040.0,2038.0006009372314,2050.0,1.9023320875883711,0.06,2042.135,2038.0006009372314,1.0,-1.0,-1.0,-1.0,0.0,0.0,24.80639437661148,10002.050000000001,9977.24360562339,1.7687981255369327,0.29,4.0,REV_LONG,STOP,2024-01-04 13:45:00,2024-01-04 13:50:00,2024-01-04 14:07:00,2041.99
2024-01-05 08:45:00,2024-01-05 08:50:00,2024-01-05 08:54:00,1006.0,5012.0,5016.0,1007.0,1.0,3.0,2030.0,2023.5884855642262,2040.0,1.100938885885556,0.03,2031.4,2040.0,2.0,-1.0,-1.0,-1.0,1.0,0.0,23.434543307321746,9977.24360562339,10003.043605623388,3.1430288715476697,0.29,1.0,REV_LONG,TARGET,2024-01-05 13:45:00,2024-01-05 13:50:00,2024-01-05 13:54:00,2031.255
2024-01-05 10:15:00,2024-01-05 10:20:00,2024-01-05 11:48:00,1024.0,5102.0,5190.0,1042.0,-1.0,4.0,2060.0,2065.6122324279236,2050.0,1.1497841859059321,0.06,2058.35,2050.0,2.0,-1.0,-1.0,1.0,1.0,0.0,43.57339456754198,10003.043605623388,10053.143605623387,4.354464855846931,0.29,18.0,REV_SHORT,TARGET,2024-01-05 15:15:00,2024-01-05 15:20:00,2024-01-05 16:48:00,2058.495
2024-01-08 04:55:00,2024-01-08 05:00:00,2024-01-08 06:19:00,1236.0,6157.0,6236.0,1252.0,-1.0,4.0,2030.0,2032.593204732692,2020.0,2.6468167130291542,0.14,2029.14,2020.0,2.0,1.0,1.0,1.0,1.0,1.0,48.34486625768523,10053.143605623387,10181.103605623388,1.5364094653838392,0.29,16.0,REV_SHORT,TARGET,2024-01-08 09:55:00,2024-01-08 10:00:00,2024-01-08 11:19:00,2029.285
2024-01-08 12:45:00,2024-01-08 12:50:00,2024-01-08 16:49:00,1330.0,6627.0,6866.0,1378.0,-1.0,2.0,2030.0,2031.5983321913711,2020.0,1.6642423967462907,0.05,2027.2450000000001,2028.32,3.0,1.0,1.0,-1.0,0.0,0.0,21.76666095685505,10181.103605623388,10175.72860562339,1.5983321913710746,0.29,48.0,BREAK_SHORT,TIME,2024-01-08 17:45:00,2024-01-08 17:50:00,2024-01-08 21:49:00,2027.39
2024-01-09 11:15:00,2024-01-09 11:20:00,2024-01-09 12:03:00,1588.0,7912.0,7955.0,1597.0,-1.0,2.0,2030.0,2031.9214503761964,2020.0,1.8273664605417066,0.12,2027.705,2031.9214503761964,1.0,1.0,1.0,1.0,0.0,0.0,50.59740451435755,10175.72860562339,10125.131201109032,1.9214503761963768,0.29,9.0,BREAK_SHORT,STOP,2024-01-09 16:15:00,2024-01-09 16:20:00,2024-01-09 17:03:00,2027.85
2024-01-09 15:15:00,2024-01-09 15:20:00,2024-01-09 16:58:00,1636.0,8152.0,8250.0,1656.0,-1.0,4.0,2030.0,2031.1227339505488,2020.0,7.63744715731771,0.39,2029.835,2030.165,4.0,1.0,1.0,1.0,0.0,0.0,50.22162407140036,10125.131201109032,10112.261201109035,1.0054679010978569,0.29,20.0,REV_SHORT,SESSION,2024-01-09 20:15:00,2024-01-09 20:20:00,2024-01-09 21:58:00,2029.98
2024-01-12 08:45:00,2024-01-12 08:50:00,2024-01-12 09:33:00,2386.0,11887.0,11930.0,2395.0,1.0,1.0,2050.0,2047.5586208321336,2060.0,1.0835017871275554,0.04,2053.53,2060.0,2.0,1.0,1.0,-1.0,0.0,0.0,23.885516671466576,10112.261201109035,10138.141201109034,2.4413791678663777,0.29,9.0,BREAK_LONG,TARGET,2024-01-12 13:45:00,2024-01-12 13:50:00,2024-01-12 14:33:00,2053.385
2024-01-14 21:00:00,2024-01-14 21:05:00,2024-01-15 01:04:00,2521.0,12557.0,12796.0,2569.0,1.0,1.0,2050.0,2049.0358903299025,2060.0,8.143542032485286,0.21,2050.235,2054.405,3.0,1.0,1.0,-1.0,0.0,1.0,25.181303072050465,10138.141201109034,10225.711201109036,0.9641096700972932,0.29,48.0,BREAK_LONG,TIME,2024-01-15 02:00:00,2024-01-15 02:05:00,2024-01-15 06:04:00,2050.09
