ts_decision,ts_fill,ts_exit,i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,ts_decision_utc,ts_fill_utc,ts_exit_utc,m5_close
2024-01-02 07:05:00,2024-01-02 07:10:00,2024-01-02 10:38:00,358744.0,1787211.0,1787419.0,358786.0,-1.0,2.0,2070.0,2071.543009933304,2060.0,1.3494782404279984,0.04,2066.63,2060.0,2.0,1.0,1.0,1.0,0.0,0.0,19.652039733215133,4547.114106110267,4573.634106110268,1.5430099333037741,0.29,42.0,BREAK_SHORT,TARGET,2024-01-02 12:05:00,2024-01-02 12:10:00,2024-01-02 15:38:00,2066.775
2024-01-02 11:00:00,2024-01-02 11:05:00,2024-01-02 15:04:00,358791.0,1787446.0,1787685.0,358839.0,1.0,3.0,2060.0,2056.1067447321607,2070.0,2.243620657437047,0.02,2060.39,2060.8,3.0,-1.0,-1.0,-1.0,1.0,1.0,8.56651053567839,4573.634106110268,4574.454106110268,2.6165105356784117,0.29,48.0,REV_LONG,TIME,2024-01-02 16:00:00,2024-01-02 16:05:00,2024-01-02 20:04:00,2060.245
2024-01-03 07:00:00,2024-01-03 07:05:00,2024-01-03 08:48:00,359019.0,1788581.0,1788684.0,359040.0,-1.0,2.0,2050.0,2051.6216069551683,2040.0,1.471837196512825,0.04,2046.92,2040.0,2.0,1.0,1.0,1.0,0.0,1.0,18.80642782067298,4574.454106110268,4602.1341061102685,1.6216069551681573,0.29,21.0,BREAK_SHORT,TARGET,2024-01-03 12:00:00,2024-01-03 12:05:00,2024-01-03 13:48:00,2047.065
2024-01-04 08:45:00,2024-01-04 08:50:00,2024-01-04 09:07:00,359316.0,1790061.0,1790078.0,359320.0,1.0,3.0,2040.0,2038.0006009372314,2050.0,1.9023320875883711,0.02,2042.135,2038.0006009372314,1.0,-1.0,-1.0,-1.0,0.0,0.0,8.26879812553716,4602.1341061102685,4593.865307984732,1.7687981255369327,0.29,4.0,REV_LONG,STOP,2024-01-04 13:45:00,2024-01-04 13:50:00,2024-01-04 14:07:00,2041.99
2024-01-05 08:45:00,2024-01-05 08:50:00,2024-01-05 08:54:00,359592.0,1791436.0,1791440.0,359593.0,1.0,3.0,2030.0,2023.5884855642262,2040.0,1.100938885885556,0.01,2031.4,2040.0,2.0,-1.0,-1.0,-1.0,1.0,0.0,7.8115144357739155,4593.865307984732,4602.465307984732,3.1430288715476697,0.29,1.0,REV_LONG,TARGET,2024-01-05 13:45:00,2024-01-05 13:50:00,2024-01-05 13:54:00,2031.255
2024-01-05 10:15:00,2024-01-05 10:20:00,2024-01-05 11:48:00,359610.0,1791526.0,1791614.0,359628.0,-1.0,4.0,2060.0,2065.6122324279236,2050.0,1.1497841859059321,0.03,2058.35,2050.0,2.0,-1.0,-1.0,1.0,1.0,0.0,21.78669728377099,4602.465307984732,4627.515307984731,4.354464855846931,0.29,18.0,REV_SHORT,TARGET,2024-01-05 15:15:00,2024-01-05 15:20:00,2024-01-05 16:48:00,2058.495
2024-01-08 04:55:00,2024-01-08 05:00:00,2024-01-08 06:19:00,359822.0,1792581.0,1792660.0,359838.0,-1.0,4.0,2030.0,2032.593204732692,2020.0,2.6468167130291542,0.06,2029.14,2020.0,2.0,1.0,1.0,1.0,1.0,1.0,20.71922839615081,4627.515307984731,4682.355307984732,1.5364094653838392,0.29,16.0,REV_SHORT,TARGET,2024-01-08 09:55:00,2024-01-08 10:00:00,2024-01-08 11:19:00,2029.285
2024-01-08 12:45:00,2024-01-08 12:50:00,2024-01-08 16:49:00,359916.0,1793051.0,1793290.0,359964.0,-1.0,2.0,2030.0,2031.5983321913711,2020.0,1.6642423967462907,0.02,2027.2450000000001,2028.32,3.0,1.0,1.0,-1.0,0.0,0.0,8.70666438274202,4682.355307984732,4680.205307984732,1.5983321913710746,0.29,48.0,BREAK_SHORT,TIME,2024-01-08 17:45:00,2024-01-08 17:50:00,2024-01-08 21:49:00,2027.39
2024-01-09 11:15:00,2024-01-09 11:20:00,2024-01-09 12:03:00,360174.0,1794336.0,1794379.0,360183.0,-1.0,2.0,2030.0,2031.9214503761964,2020.0,1.8273664605417066,0.05,2027.705,2031.9214503761964,1.0,1.0,1.0,1.0,0.0,0.0,21.082251880982312,4680.205307984732,4659.12305610375,1.9214503761963768,0.29,9.0,BREAK_SHORT,STOP,2024-01-09 16:15:00,2024-01-09 16:20:00,2024-01-09 17:03:00,2027.85
2024-01-09 15:15:00,2024-01-09 15:20:00,2024-01-09 16:58:00,360222.0,1794576.0,1794674.0,360242.0,-1.0,4.0,2030.0,2031.1227339505488,2020.0,7.63744715731771,0.18,2029.835,2030.165,4.0,1.0,1.0,1.0,0.0,0.0,23.179211109877087,4659.12305610375,4653.183056103751,1.0054679010978569,0.29,20.0,REV_SHORT,SESSION,2024-01-09 20:15:00,2024-01-09 20:20:00,2024-01-09 21:58:00,2029.98
