fold,n_configs,rho_cagr,rho_sharpe
1,63,0.4112751488913587,0.3308072219326971
2,64,0.44504661737013734,-0.6406558581729666
3,64,0.8685527947457861,-0.4133559913654527
4,64,0.8977632848022781,0.26772999839590533
5,62,-0.6717807318690123,-0.4708217668487828
