target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,cagr_robust,sharpe_robust,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg
0.5,40.0,0.03,10.221,9.3896,1.1364,1.3864,3.6661,630,4668.87,3.937,0.5,40.0,0.03,1.0885447729402744,9.997700000000002,1.1444,0.5,40.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492,0.6937879926234548,7.14205
0.5,80.0,0.03,10.221,9.3896,1.1364,1.3864,3.6661,630,4668.87,3.937,0.5,80.0,0.03,1.0885447729402744,9.9977,1.1444,0.5,80.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492,0.6937879926234548,7.14205
0.5,48.0,0.03,10.221,9.3896,1.1364,1.3864,3.6661,630,4668.87,3.937,0.5,48.0,0.03,1.0885447729402744,9.997700000000002,1.1444,0.5,48.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492,0.6937879926234548,7.14205
0.5,72.0,0.03,10.221,9.3896,1.1364,1.3864,3.6661,630,4668.87,3.937,0.5,72.0,0.03,1.0885447729402744,9.997700000000002,1.1444,0.5,72.0,0.03,4.0631,5.8564,0.5676,1.2072,1.0021,206,612.28,1.492,0.6937879926234548,7.14205
0.5,72.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,72.0,0.05,1.0621770926500762,9.87315,1.2036,0.5,72.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,80.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,80.0,0.05,1.0621770926500762,9.873149999999999,1.2036,0.5,80.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,48.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,48.0,0.05,1.0621770926500762,9.87315,1.2036,0.5,48.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,56.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,56.0,0.05,1.0621770926500762,9.87315,1.2036,0.5,56.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,40.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,40.0,0.05,1.0621770926500762,9.87315,1.2036,0.5,40.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
0.5,16.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,16.0,0.05,1.0621770926500762,9.713483333333333,1.2019499999999999,0.5,16.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995
