timestamp_utc,spread_10y2y,unemp_rising,spread_threshold,macro_ok
2020-09-23T00:00:00Z,0.540000,0,0.5000,0
2020-09-24T00:00:00Z,0.530000,0,0.5000,0
2020-09-25T00:00:00Z,0.540000,0,0.5000,0
2020-09-28T00:00:00Z,0.530000,0,0.5000,0
2020-09-29T00:00:00Z,0.550000,0,0.5000,0
2020-09-30T00:00:00Z,0.560000,0,0.5000,0
2020-10-01T00:00:00Z,0.540000,0,0.5000,0
2020-10-02T00:00:00Z,0.570000,0,0.5000,0
2020-10-05T00:00:00Z,0.640000,0,0.5000,0
2020-10-06T00:00:00Z,0.620000,0,0.5000,0
2020-10-07T00:00:00Z,0.650000,0,0.5000,0
2020-10-08T00:00:00Z,0.650000,0,0.5000,0
2020-10-09T00:00:00Z,0.630000,0,0.5000,0
2020-10-13T00:00:00Z,0.580000,0,0.5000,0
2020-10-14T00:00:00Z,0.590000,0,0.5000,0
2020-10-15T00:00:00Z,0.600000,0,0.5000,0
2020-10-16T00:00:00Z,0.620000,0,0.5000,0
2020-10-19T00:00:00Z,0.620000,0,0.5000,0
2020-10-20T00:00:00Z,0.670000,0,0.5000,0
2020-10-21T00:00:00Z,0.690000,0,0.5000,0
2020-10-22T00:00:00Z,0.710000,0,0.5000,0
2020-10-23T00:00:00Z,0.670000,0,0.5000,0
2020-10-26T00:00:00Z,0.650000,0,0.5000,0
2020-10-27T00:00:00Z,0.630000,0,0.5000,0
2020-10-28T00:00:00Z,0.630000,0,0.5000,0
2020-10-29T00:00:00Z,0.690000,0,0.5000,0
2020-10-30T00:00:00Z,0.740000,0,0.5000,0
2020-11-02T00:00:00Z,0.710000,0,0.5000,0
2020-11-03T00:00:00Z,0.730000,0,0.5000,0
2020-11-04T00:00:00Z,0.640000,0,0.5000,0
2020-11-05T00:00:00Z,0.650000,0,0.5000,0
2020-11-06T00:00:00Z,0.670000,0,0.5000,0
2020-11-09T00:00:00Z,0.790000,0,0.5000,0
2020-11-10T00:00:00Z,0.790000,0,0.5000,0
2020-11-12T00:00:00Z,0.710000,0,0.5000,0
2020-11-13T00:00:00Z,0.720000,0,0.5000,0
2020-11-16T00:00:00Z,0.720000,0,0.5000,0
2020-11-17T00:00:00Z,0.690000,0,0.5000,0
2020-11-18T00:00:00Z,0.720000,0,0.5000,0
2020-11-19T00:00:00Z,0.680000,0,0.5000,0
2020-11-20T00:00:00Z,0.670000,0,0.5000,0
2020-11-23T00:00:00Z,0.700000,0,0.5000,0
2020-11-24T00:00:00Z,0.720000,0,0.5000,0
2020-11-25T00:00:00Z,0.710000,0,0.5000,0
2020-11-27T00:00:00Z,0.680000,0,0.5000,0
2020-11-30T00:00:00Z,0.680000,0,0.5000,0
2020-12-01T00:00:00Z,0.750000,0,0.5000,0
2020-12-02T00:00:00Z,0.790000,0,0.5000,0
2020-12-03T00:00:00Z,0.760000,0,0.5000,0
2020-12-04T00:00:00Z,0.810000,0,0.5000,0
2020-12-07T00:00:00Z,0.800000,0,0.5000,0
2020-12-08T00:00:00Z,0.780000,0,0.5000,0
2020-12-09T00:00:00Z,0.790000,0,0.5000,0
2020-12-10T00:00:00Z,0.780000,0,0.5000,0
2020-12-11T00:00:00Z,0.790000,0,0.5000,0
2020-12-14T00:00:00Z,0.770000,0,0.5000,0
2020-12-15T00:00:00Z,0.810000,0,0.5000,0
2020-12-16T00:00:00Z,0.790000,0,0.5000,0
2020-12-18T00:00:00Z,0.810000,0,0.5000,0
2020-12-18T00:00:00Z,0.820000,0,0.5000,0
2020-12-21T00:00:00Z,0.820000,0,0.5000,0
2020-12-22T00:00:00Z,0.800000,0,0.5000,0
2020-12-23T00:00:00Z,0.830000,0,0.5000,0
2020-12-24T00:00:00Z,0.810000,0,0.5000,0
2020-12-28T00:00:00Z,0.810000,0,0.5000,0
2020-12-29T00:00:00Z,0.820000,0,0.5000,0
2020-12-30T00:00:00Z,0.810000,0,0.5000,0
2020-12-31T00:00:00Z,0.800000,0,0.5000,0
2021-01-04T00:00:00Z,0.820000,0,0.5000,0
2021-01-05T00:00:00Z,0.830000,0,0.5000,0
2021-01-06T00:00:00Z,0.900000,0,0.5000,0
2021-01-07T00:00:00Z,0.940000,0,0.5000,0
2021-01-08T00:00:00Z,0.990000,0,0.5000,0
2021-01-11T00:00:00Z,1.010000,0,0.5000,0
2021-01-12T00:00:00Z,1.010000,0,0.5000,0
2021-01-13T00:00:00Z,0.960000,0,0.5000,0
2021-01-14T00:00:00Z,0.990000,0,0.5000,0
2021-01-15T00:00:00Z,0.980000,0,0.5000,0
2021-01-19T00:00:00Z,0.960000,0,0.5000,0
2021-01-21T00:00:00Z,0.970000,0,0.5000,0
2021-01-21T00:00:00Z,0.990000,0,0.5000,0
2021-01-22T00:00:00Z,0.970000,0,0.5000,0
2021-01-25T00:00:00Z,0.920000,0,0.5000,0
2021-01-26T00:00:00Z,0.940000,0,0.5000,0
2021-01-27T00:00:00Z,0.920000,0,0.5000,0
2021-01-28T00:00:00Z,0.950000,0,0.5000,0
2021-01-29T00:00:00Z,1.000000,0,0.5000,0
2021-02-01T00:00:00Z,0.980000,0,0.5000,0
2021-02-02T00:00:00Z,1.010000,0,0.5000,0
2021-02-03T00:00:00Z,1.040000,0,0.5000,0
2021-02-04T00:00:00Z,1.040000,0,0.5000,0
2021-02-05T00:00:00Z,1.100000,0,0.5000,0
2021-02-08T00:00:00Z,1.080000,0,0.5000,0
2021-02-09T00:00:00Z,1.070000,0,0.5000,0
2021-02-10T00:00:00Z,1.040000,0,0.5000,0
