target_vol,max_lev,run_id,duration_s,cagr_pct,net_profit,equity_dd_pct,balance_dd_pct,sharpe,calmar,profit_factor,recovery_factor,trades,json_file
0.2,4.0,vt0p20_lev4,22.5,4.1772198547349815,2488.38,6.48,6.32,0.98,0.6446326936319415,1.32,3.41,835,run_20260504T151041Z.json
0.2,12.0,vt0p20_lev12,22.7,5.616695585559173,3454.51,6.03,5.59,1.07,0.9314586377378395,1.35,4.66,835,run_20260504T151104Z.json
0.4,4.0,vt0p40_lev4,14.6,4.19888660473573,2502.49,8.46,8.17,0.85,0.49632229370398695,1.28,2.62,835,run_20260504T151118Z.json
0.4,12.0,vt0p40_lev12,75.6,8.265191956138063,5391.27,8.35,8.21,1.1,0.9898433480404866,1.36,4.91,835,run_20260504T151234Z.json
