symbol,from_date,cagr,max_dd,sharpe,profit_factor,trades,net,error
US100Cash,2022.11.04,0.064443,52.9332,0.1176,1.3453,16,4358.38,
GER40Cash,2022.11.10,0.064797,58.368,0.1673,1.2078,22,4358.83,
JPN225Cash,2022.11.04,0.002536,0.6666,0.8757,2.0997,29,160.56,
