pair,sleeve,from_date,to_date,sharpe,net_profit,trades,equity_dd_pct,profit_factor,recovery_factor
USDCHF,MR,2020.11.23,2026.04.30,0.0,0.0,0,0.0,0.0,0.0
USDCHF,TS,2020.11.23,2026.04.30,-1.75,-4759.81,148,48.88,0.49,-0.96
USDCHF,RSI,2020.11.23,2026.04.30,-0.28,-1069.7,10,16.55,0.37,-0.64
AUDUSD,MR,2020.11.23,2026.04.30,6.34,684.26,64,3.08,1.44,2.05
AUDUSD,TS,2020.11.23,2026.04.30,-0.03,-112.14,164,20.98,0.99,-0.05
AUDUSD,RSI,2020.11.23,2026.04.30,0.15,700.62,8,4.11,3.75,1.56
NZDUSD,MR,2020.11.23,2026.04.30,2.62,293.32,69,3.16,1.17,0.88
NZDUSD,TS,2020.11.23,2026.04.30,-0.98,-3111.31,150,35.92,0.63,-0.85
NZDUSD,RSI,2020.11.23,2026.04.30,0.14,825.8,8,5.17,7.46,1.55
EURGBP,MR,2022.11.05,2026.04.30,-5.0,-373.39,63,5.05,0.63,-0.73
EURGBP,TS,2022.11.05,2026.04.30,-0.5,-1147.48,94,18.44,0.8,-0.58
EURGBP,RSI,2022.11.05,2026.04.30,0.1,301.04,4,2.51,0.0,1.17
EURJPY,MR,2022.11.05,2026.04.30,-5.0,-647.48,29,7.15,0.35,-0.9
EURJPY,TS,2022.11.05,2026.04.30,0.69,1792.99,94,17.9,1.38,0.91
EURJPY,RSI,2022.11.05,2026.04.30,0.08,473.08,7,5.2,2.27,0.86
GBPJPY,MR,2020.11.23,2026.04.30,-5.0,-419.64,58,5.37,0.72,-0.77
GBPJPY,TS,2020.11.23,2026.04.30,-0.76,-2473.9,134,42.64,0.69,-0.55
GBPJPY,RSI,2020.11.23,2026.04.30,-0.3,-1301.95,7,16.75,0.16,-0.76
