target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg,dd_max,sharpe_min
2.0,48.0,0.005,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.005,1.3734755130426295,2.0,48.0,0.005,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
2.0,48.0,0.01,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.01,1.3734755130426295,2.0,48.0,0.01,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
2.0,48.0,0.035,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.035,1.3734755130426295,2.0,48.0,0.035,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
2.0,48.0,0.015,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.015,1.3734755130426295,2.0,48.0,0.015,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
2.0,48.0,0.02,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.02,1.3734755130426295,2.0,48.0,0.02,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
2.0,48.0,0.025,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.025,1.3734755130426295,2.0,48.0,0.025,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
2.0,48.0,0.04,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.04,1.3734755130426295,2.0,48.0,0.04,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
2.0,48.0,0.03,28.1432,20.4905,1.4177,1.5202,3.6629,585,16546.09,3.937,2.0,48.0,0.03,1.3734755130426295,2.0,48.0,0.03,18.0689,8.986,1.1105,1.4579,2.265,201,2812.54,1.492,2.010783440908079,23.10605,20.4905,1.1105
1.75,64.0,0.025,27.369100000000003,19.2362,1.4724,1.5402,3.8,585,15920.3,3.937,1.75,64.0,0.025,1.422791403707593,1.75,64.0,0.025,18.6137,9.5778,1.1535,1.5192,2.4334,201,2900.86,1.492,1.943421244962309,22.991400000000002,19.2362,1.1535
1.75,64.0,0.015,27.369100000000003,19.2362,1.4724,1.5402,3.8,585,15920.3,3.937,1.75,64.0,0.015,1.422791403707593,1.75,64.0,0.015,18.6137,9.5778,1.1535,1.5192,2.4334,201,2900.86,1.492,1.943421244962309,22.991400000000002,19.2362,1.1535
1.75,64.0,0.005,27.369100000000003,19.2362,1.4724,1.5402,3.8,585,15920.3,3.937,1.75,64.0,0.005,1.422791403707593,1.75,64.0,0.005,18.6137,9.5778,1.1535,1.5192,2.4334,201,2900.86,1.492,1.943421244962309,22.991400000000002,19.2362,1.1535
1.75,64.0,0.01,27.369100000000003,19.2362,1.4724,1.5402,3.8,585,15920.3,3.937,1.75,64.0,0.01,1.422791403707593,1.75,64.0,0.01,18.6137,9.5778,1.1535,1.5192,2.4334,201,2900.86,1.492,1.943421244962309,22.991400000000002,19.2362,1.1535
1.75,64.0,0.02,27.369100000000003,19.2362,1.4724,1.5402,3.8,585,15920.3,3.937,1.75,64.0,0.02,1.422791403707593,1.75,64.0,0.02,18.6137,9.5778,1.1535,1.5192,2.4334,201,2900.86,1.492,1.943421244962309,22.991400000000002,19.2362,1.1535
2.0,80.0,0.045,28.1311,20.4946,1.417,1.5199,3.6607,585,16536.19,3.937,2.0,80.0,0.045,1.372610346139959,2.0,80.0,0.045,17.0118,8.9218,1.0597,1.4279,2.1722,201,2641.75,1.492,1.9067676926180819,22.57145,20.4946,1.0597
2.0,64.0,0.045,28.1311,20.4946,1.417,1.5199,3.6607,585,16536.19,3.937,2.0,64.0,0.045,1.372610346139959,2.0,64.0,0.045,17.0118,8.9218,1.0597,1.4279,2.1722,201,2641.75,1.492,1.9067676926180819,22.57145,20.4946,1.0597
2.0,48.0,0.045,28.1311,20.4946,1.417,1.5199,3.6607,585,16536.19,3.937,2.0,48.0,0.045,1.372610346139959,2.0,48.0,0.045,17.0118,8.9218,1.0597,1.4279,2.1722,201,2641.75,1.492,1.9067676926180819,22.57145,20.4946,1.0597
1.75,64.0,0.03,26.998,19.3092,1.4588,1.536,3.7597,585,15624.29,3.937,1.75,64.0,0.03,1.3981936071924264,1.75,64.0,0.03,17.813699999999997,8.7385,1.1304,1.4952,2.328,201,2771.25,1.492,2.0385306402700687,22.40585,19.3092,1.1304
1.75,80.0,0.03,26.998,19.3092,1.4588,1.536,3.7597,585,15624.29,3.937,1.75,80.0,0.03,1.3981936071924264,1.75,80.0,0.03,17.813699999999997,8.7385,1.1304,1.4952,2.328,201,2771.25,1.492,2.0385306402700687,22.40585,19.3092,1.1304
