target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg,dd_max,sharpe_min
0.25,80.0,0.02,7.2353,6.7371,1.1694,1.3941,3.7615,630,3165.62,3.937,0.25,80.0,0.02,1.0739487316501164,0.25,80.0,0.02,3.2066,4.1697,0.6455,1.2364,1.127,206,482.22,1.492,0.7690241504184954,5.22095,6.7371,0.6455
0.25,80.0,0.03,7.3408,6.7371,1.2285,1.4092,3.8536,630,3216.67,3.937,0.25,80.0,0.03,1.0896082884327085,0.25,80.0,0.03,3.013,3.7217,0.6449,1.2284,1.1923,206,452.89,1.492,0.8095762689093694,5.1769,6.7371,0.6449
0.25,80.0,0.04,7.063400000000001,6.6635,1.2491,1.4226,3.9527,630,3082.72,3.937,0.25,80.0,0.04,1.0600135064155474,0.25,80.0,0.04,2.5174,3.5416,0.5608,1.2114,1.046,206,377.95,1.492,0.7108086740456291,4.7904,6.6635,0.5608
0.25,80.0,0.065,4.5221,7.5744,0.958,1.3016,2.2448,630,1902.07,3.937,0.25,80.0,0.065,0.5970241867342628,0.25,80.0,0.065,2.2918000000000003,3.8582,0.6656,1.2707,0.8743,206,343.89,1.492,0.5940075682960967,3.40695,7.5744,0.6656
0.25,80.0,0.025,7.0589,6.7104,1.1649,1.3851,3.701,630,3080.56,3.937,0.25,80.0,0.025,1.0519343109203625,0.25,80.0,0.025,3.6098,3.7524,0.7544,1.2713,1.4159,206,543.38,1.492,0.9619976548342394,5.334350000000001,6.7104,0.7544
0.5,16.0,0.065,9.0304,9.9105,1.148,1.3825,3.2849,630,4054.83,3.937,0.5,16.0,0.065,0.9111951970132687,0.5,16.0,0.065,3.5196,5.2068,0.5605,1.226,0.989,206,529.69,1.492,0.6759622032726434,6.275,9.9105,0.5605
0.5,16.0,0.03,10.4073,9.3761,1.1621,1.3931,3.729,630,4766.7,3.937,0.5,16.0,0.03,1.1099817621399088,0.5,16.0,0.03,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492,0.7399456713469272,7.3011,9.3761,0.5887
0.5,16.0,0.045,10.0834,9.3902,1.1669,1.3951,3.7255,630,4596.88,3.937,0.5,16.0,0.045,1.0738216438414516,0.5,16.0,0.045,4.1072,5.3971,0.6075,1.2188,1.1195,206,619.0,1.492,0.7610012784643604,7.0953,9.3902,0.6075
0.5,16.0,0.075,7.965800000000001,10.2684,1.0656,1.3452,2.8049,630,3522.23,3.937,0.5,16.0,0.075,0.7757586381520004,0.5,16.0,0.075,3.1481000000000003,5.301,0.558,1.2226,0.8696,206,473.36,1.492,0.5938690813054142,5.5569500000000005,10.2684,0.558
0.5,16.0,0.005,10.4073,9.3761,1.1621,1.3931,3.729,630,4766.7,3.937,0.5,16.0,0.005,1.1099817621399088,0.5,16.0,0.005,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492,0.7399456713469272,7.3011,9.3761,0.5887
0.5,16.0,0.05,10.0944,9.5035,1.1861,1.4004,3.7277,630,4602.6,3.937,0.5,16.0,0.05,1.0621770926500762,0.5,16.0,0.05,4.0676,4.9886,0.6164,1.2264,1.2014,206,612.97,1.492,0.8153790642665276,7.0809999999999995,9.5035,0.6164
0.5,16.0,0.015,10.4073,9.3761,1.1621,1.3931,3.729,630,4766.7,3.937,0.5,16.0,0.015,1.1099817621399088,0.5,16.0,0.015,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492,0.7399456713469272,7.3011,9.3761,0.5887
0.5,16.0,0.04,10.2148,9.3112,1.1731,1.3887,3.702,630,4665.59,3.937,0.5,16.0,0.04,1.097044419623679,0.5,16.0,0.04,4.6337,5.513,0.6717,1.2416,1.236,206,699.23,1.492,0.8405042626519137,7.424250000000001,9.3112,0.6717
0.5,16.0,0.01,10.4073,9.3761,1.1621,1.3931,3.729,630,4766.7,3.937,0.5,16.0,0.01,1.1099817621399088,0.5,16.0,0.01,4.1949,5.6692,0.5887,1.2147,1.0711,206,632.35,1.492,0.7399456713469272,7.3011,9.3761,0.5887
0.5,16.0,0.08,7.2405,11.1009,1.0027,1.3234,2.3799,630,3168.13,3.937,0.5,16.0,0.08,0.6522444126151934,0.5,16.0,0.08,3.094,5.4161,0.569,1.2259,0.837,206,465.16,1.492,0.5712597625597754,5.16725,11.1009,0.569
0.5,16.0,0.055,9.8854,9.5981,1.1892,1.4015,3.7117,630,4493.79,3.937,0.5,16.0,0.055,1.0299330075744157,0.5,16.0,0.055,3.921,4.8379,0.5979,1.2248,1.1925,206,590.67,1.492,0.8104756195870108,6.9032,9.5981,0.5979
0.5,16.0,0.07,8.5931,9.8561,1.1133,1.3667,3.1342,630,3834.2,3.937,0.5,16.0,0.07,0.8718560079544647,0.5,16.0,0.07,2.8527,5.4365,0.4805,1.1903,0.7671,206,428.64,1.492,0.5247309850087373,5.7229,9.8561,0.4805
