config,lookback,n_long,n_short,n_bars,first_date,last_date,sharpe_net,cagr,maxdd,trades_total,turnover_annuel,n_instruments_moyen,gross_median,corr_to_tsmom
lb252_L3S0,252,3,0,6373,2000-08-23,2025-12-31,0.6087005481429485,0.14371083020419717,-0.5745280864456278,503,12.34863428688768,3.0,1.5491458069425312,0.6610327512853542
lb126_L3S0,126,3,0,6373,2000-08-23,2025-12-31,0.5054603106167954,0.11189556338404505,-0.6345428943185099,589,16.26098261605196,3.0,1.5491458069425499,0.6417342135607144
lb63_L3S0,63,3,0,6373,2000-08-23,2025-12-31,0.39182265090228663,0.07624624067337216,-0.6742163883135207,628,20.971128192391184,3.0,1.5462726575458428,0.5913340543002378
lb252_L3S3,252,3,3,6373,2000-08-23,2025-12-31,0.2807701177551771,0.03992761872535655,-0.570531029548266,1004,14.454394320815855,6.0,2.422844458485239,0.14791530034261138
lb126_L3S3,126,3,3,6373,2000-08-23,2025-12-31,0.12022456233281299,-0.0035471770166034533,-0.7001957837165755,1172,21.7250938466911,6.0,2.4991661730041517,0.17690714915115513
lb63_L3S3,63,3,3,6373,2000-08-23,2025-12-31,-0.04747514264057877,-0.0480472909280002,-0.8447264108019555,1279,28.090392042960893,6.0,2.4118000791980427,0.16490893089607514
