config,mode,fast_n,slow_n,instrument,source,n_bars,first_date,last_date,sharpe_net,cagr_net,maxdd,trades_total,trades_per_year,years_in_window
gate_63_252,gate,63,252,US30,yahoo,8561,1992-01-02,2025-12-31,0.09937977333104986,0.0017327887620282034,-0.6186772603363642,165,4.856909239574816,33.97222222222222
brake_63_252,brake,63,252,US30,yahoo,8561,1992-01-02,2025-12-31,0.3600338061569158,0.05786966689584028,-0.6337595292378253,256,7.53556827473426,33.97222222222222
gate_21_126,gate,21,126,US30,yahoo,8561,1992-01-02,2025-12-31,0.2485499962210822,0.027017179320851126,-0.5072173066757752,198,5.828291087489779,33.97222222222222
brake_21_126,brake,21,126,US30,yahoo,8561,1992-01-02,2025-12-31,0.3594369346161205,0.06132652348210277,-0.6338879705804914,256,7.53556827473426,33.97222222222222
tsmom_ref,tsmom_ref,0,0,US30,yahoo,8561,1992-01-02,2025-12-31,0.37128271247010736,0.06972389428292525,-0.7814229528929566,256,7.53556827473426,33.97222222222222
gate_63_252,gate,63,252,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.3551279974820014,0.06393091321817579,-0.38621027080041026,15,3.9170984455958546,3.8293650793650795
brake_63_252,brake,63,252,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.34661795944625945,0.06245244712527587,-0.38621027080040904,21,5.4839378238341965,3.8293650793650795
gate_21_126,gate,21,126,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.41973367652828164,0.05685064124884209,-0.1978048349385364,18,4.7005181347150256,3.8293650793650795
brake_21_126,brake,21,126,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.24784418004474487,0.029508135702043248,-0.3209530336182548,21,5.4839378238341965,3.8293650793650795
tsmom_ref,tsmom_ref,0,0,XNG-USD,mt5,965,2022-11-03,2025-12-31,0.298744990679509,0.042742920669660345,-0.38621027080040904,21,5.4839378238341965,3.8293650793650795
gate_63_252,gate,63,252,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.1053915042331193,0.00027974621687687495,-0.6537645274696227,102,4.03833464257659,25.25793650793651
brake_63_252,brake,63,252,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.17078357357005666,0.009673640458603305,-0.5933536069332769,141,5.582403770620581,25.25793650793651
gate_21_126,gate,21,126,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,-0.06631423454953032,-0.022923534727753325,-0.5648879043758379,102,4.03833464257659,25.25793650793651
brake_21_126,brake,21,126,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.18584118476898157,0.011654286225666555,-0.6140985802493271,141,5.582403770620581,25.25793650793651
tsmom_ref,tsmom_ref,0,0,XTI-USD,yahoo,6365,2000-08-23,2025-12-31,0.21631568755192582,0.012315583712903644,-0.7184509639439605,141,5.582403770620581,25.25793650793651
gate_63_252,gate,63,252,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.11458627583008103,0.00013358711014421765,-0.7491242848295028,103,4.081132075471698,25.238095238095237
brake_63_252,brake,63,252,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.10117589700362092,-0.01636108974090189,-0.83018036270724,175,6.933962264150944,25.238095238095237
gate_21_126,gate,21,126,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.056744345847390236,-0.007456598031809536,-0.6480100433397262,126,4.99245283018868,25.238095238095237
brake_21_126,brake,21,126,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.21707771388066077,0.009611514958288714,-0.8363588464223923,175,6.933962264150944,25.238095238095237
tsmom_ref,tsmom_ref,0,0,XAG-USD,yahoo,6360,2000-08-30,2025-12-31,0.20079920039375068,-0.0078117980016109145,-0.902684207544711,175,6.933962264150944,25.238095238095237
gate_63_252,gate,63,252,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.1218470002760185,0.007403963085543364,-0.20531985054113555,26,4.107836990595612,6.329365079365079
brake_63_252,brake,63,252,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.20619731387974033,0.021650410330064096,-0.33166210258535556,37,5.84576802507837,6.329365079365079
gate_21_126,gate,21,126,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.2590940008871505,0.030553704355221978,-0.3146071935177476,28,4.423824451410659,6.329365079365079
brake_21_126,brake,21,126,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.15252476666473264,0.00543268592273316,-0.5088961719065944,37,5.84576802507837,6.329365079365079
tsmom_ref,tsmom_ref,0,0,GBP-JPY,mt5,1595,2020-11-21,2025-12-31,0.07912853492213218,-0.025975143373505594,-0.5484996096610479,37,5.84576802507837,6.329365079365079
gate_63_252,gate,63,252,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,-0.23788445762614413,-0.06642798575704567,-0.8315556187572097,80,4.396946564885496,18.194444444444443
brake_63_252,brake,63,252,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,-0.08090894407115827,-0.05186951697517361,-0.7418629316680847,121,6.650381679389313,18.194444444444443
gate_21_126,gate,21,126,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,-0.15054463380065902,-0.04315652038001894,-0.7096192887599473,81,4.451908396946565,18.194444444444443
brake_21_126,brake,21,126,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.04311715723952173,-0.02561013651641786,-0.746031506081761,121,6.650381679389313,18.194444444444443
tsmom_ref,tsmom_ref,0,0,XBR-USD,yahoo,4585,2007-07-30,2025-12-31,0.06628681809658325,-0.036467851195352896,-0.7774509617513363,121,6.650381679389313,18.194444444444443
gate_63_252,gate,63,252,UK100,yahoo,9093,1990-01-02,2025-12-31,0.1659390706806838,0.01359223722788272,-0.5609724405029904,140,3.879907621247113,36.083333333333336
brake_63_252,brake,63,252,UK100,yahoo,9093,1990-01-02,2025-12-31,0.12204453104175131,0.0007421824114877129,-0.8957866306260536,239,6.623556581986143,36.083333333333336
gate_21_126,gate,21,126,UK100,yahoo,9093,1990-01-02,2025-12-31,0.0683700798735736,-0.0010347768509175737,-0.6874957525081731,169,4.683602771362587,36.083333333333336
brake_21_126,brake,21,126,UK100,yahoo,9093,1990-01-02,2025-12-31,0.040421910461111536,-0.02138314168393951,-0.9267320383429593,239,6.623556581986143,36.083333333333336
tsmom_ref,tsmom_ref,0,0,UK100,yahoo,9093,1990-01-02,2025-12-31,0.06525559267401021,-0.035670353742889294,-0.9838827397970806,239,6.623556581986143,36.083333333333336
gate_63_252,gate,63,252,AGG,14 instruments,,,,0.08140534920820522,,,1065,,
brake_63_252,brake,63,252,AGG,14 instruments,,,,0.3403276885735854,,,1786,,
gate_21_126,gate,21,126,AGG,14 instruments,,,,0.08243107266180047,,,1238,,
brake_21_126,brake,21,126,AGG,14 instruments,,,,0.3689576434107385,,,1786,,
tsmom_ref,tsmom_ref,0,0,AGG,14 instruments,,,,0.3747997020538872,,,1786,,
